epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3837,0.6805,0.50177,1.05529,0.96772,0.93118,0.91655,0.78834,0.66257,0.51158,1.093,0.008185,0.008185,0.008185
57,3905.48,0.67877,0.49619,1.05231,0.9665,0.92986,0.91812,0.78547,0.66844,0.52999,1.09859,0.008152,0.008152,0.008152
58,3974.11,0.68334,0.49695,1.05569,0.94972,0.94379,0.92933,0.79609,0.66407,0.5364,1.09375,0.008119,0.008119,0.008119
59,4042.59,0.67558,0.49712,1.0518,0.96411,0.9433,0.92686,0.7957,0.66362,0.51858,1.09352,0.008086,0.008086,0.008086
60,4110.61,0.67509,0.48587,1.05293,0.97543,0.93628,0.92613,0.79248,0.66867,0.52674,1.09654,0.008053,0.008053,0.008053
61,4179.17,0.67796,0.49474,1.05568,0.95766,0.93395,0.92015,0.79142,0.66151,0.52052,1.09352,0.00802,0.00802,0.00802
62,4247.87,0.67157,0.48678,1.05028,0.93928,0.93764,0.92676,0.7948,0.66095,0.515,1.09469,0.007987,0.007987,0.007987
63,4316.67,0.67456,0.48658,1.0513,0.96407,0.93451,0.92378,0.79248,0.66065,0.53535,1.09473,0.007954,0.007954,0.007954
64,4385.43,0.67462,0.48811,1.05176,0.96022,0.93583,0.92148,0.789,0.66544,0.52417,1.09596,0.007921,0.007921,0.007921
65,4453.98,0.67506,0.48151,1.05156,0.95821,0.94292,0.92514,0.79576,0.66157,0.51967,1.09161,0.007888,0.007888,0.007888
66,4522.5,0.66937,0.48187,1.04842,0.95301,0.9442,0.9247,0.79346,0.6603,0.52255,1.09237,0.007855,0.007855,0.007855
67,4590.7,0.66927,0.47601,1.05011,0.96612,0.94339,0.92716,0.79226,0.66402,0.51334,1.0937,0.007822,0.007822,0.007822
68,4658.47,0.67231,0.47893,1.05037,0.96768,0.9438,0.92966,0.7983,0.66063,0.52189,1.09187,0.007789,0.007789,0.007789
69,4726.31,0.67583,0.47637,1.05183,0.95914,0.93552,0.9267,0.7977,0.66152,0.5191,1.09154,0.007756,0.007756,0.007756
70,4794.21,0.67276,0.47062,1.04953,0.9754,0.9412,0.93071,0.79914,0.66306,0.51945,1.09325,0.007723,0.007723,0.007723
71,4862.34,0.67106,0.47141,1.04823,0.97134,0.93798,0.9351,0.80217,0.66063,0.51738,1.09233,0.00769,0.00769,0.00769
72,4930.17,0.66749,0.47131,1.04917,0.94868,0.95089,0.92981,0.79922,0.66011,0.52004,1.09178,0.007657,0.007657,0.007657
73,4998.03,0.66762,0.46682,1.04779,0.97236,0.94397,0.93364,0.80488,0.65852,0.52116,1.09061,0.007624,0.007624,0.007624
74,5065.78,0.66444,0.46663,1.04909,0.96573,0.94534,0.93328,0.80653,0.65789,0.51393,1.09032,0.007591,0.007591,0.007591
75,5133.82,0.66545,0.46275,1.04776,0.97728,0.94367,0.93375,0.8024,0.65983,0.51808,1.09209,0.007558,0.007558,0.007558
76,5201.59,0.6593,0.45427,1.04571,0.9586,0.94532,0.93125,0.79994,0.65692,0.51626,1.08925,0.007525,0.007525,0.007525
77,5269.27,0.66444,0.45651,1.04395,0.97005,0.94468,0.93363,0.80151,0.65662,0.51594,1.08766,0.007492,0.007492,0.007492
78,5337.23,0.66339,0.46234,1.04836,0.97073,0.94435,0.93707,0.80394,0.65764,0.51005,1.08841,0.007459,0.007459,0.007459
79,5405.27,0.65588,0.44846,1.04382,0.9502,0.95142,0.92531,0.79762,0.65601,0.5073,1.08763,0.007426,0.007426,0.007426
80,5473.26,0.66142,0.45129,1.04469,0.97448,0.94229,0.92943,0.80049,0.65559,0.50742,1.0886,0.007393,0.007393,0.007393
81,5541.16,0.66287,0.45131,1.04606,0.97149,0.93875,0.93302,0.80225,0.65587,0.50881,1.08787,0.00736,0.00736,0.00736
82,5609,0.66546,0.44966,1.0478,0.95092,0.95188,0.93057,0.79825,0.65636,0.51167,1.08775,0.007327,0.007327,0.007327
83,5676.85,0.65312,0.44256,1.04306,0.96156,0.94364,0.92652,0.79887,0.65806,0.51653,1.08974,0.007294,0.007294,0.007294
84,5744.63,0.65962,0.44561,1.04391,0.95968,0.94275,0.92776,0.79818,0.65737,0.51502,1.08805,0.007261,0.007261,0.007261
85,5812.66,0.65642,0.44444,1.04188,0.95576,0.94961,0.92886,0.80093,0.65741,0.51366,1.08945,0.007228,0.007228,0.007228
86,5880.6,0.65066,0.43732,1.04117,0.96217,0.94492,0.93261,0.80072,0.65694,0.51119,1.08951,0.007195,0.007195,0.007195
87,5948.54,0.65077,0.43835,1.04124,0.97266,0.93663,0.92877,0.79781,0.65551,0.51034,1.08891,0.007162,0.007162,0.007162
88,6016.57,0.64958,0.43447,1.03951,0.95506,0.95521,0.9349,0.80278,0.65413,0.51785,1.0881,0.007129,0.007129,0.007129
89,6084.33,0.65385,0.43679,1.04228,0.95806,0.95446,0.93714,0.80388,0.65554,0.51649,1.08985,0.007096,0.007096,0.007096
90,6152.15,0.64544,0.42728,1.04072,0.957,0.95341,0.92993,0.8003,0.65588,0.51584,1.08913,0.007063,0.007063,0.007063
91,6219.94,0.64312,0.42637,1.03902,0.95123,0.94981,0.9305,0.79949,0.65592,0.51316,1.08904,0.00703,0.00703,0.00703
92,6287.84,0.64938,0.42767,1.04082,0.95489,0.94964,0.92997,0.79893,0.65599,0.51214,1.08957,0.006997,0.006997,0.006997
93,6355.53,0.64723,0.43448,1.04172,0.95754,0.95539,0.93119,0.79961,0.65738,0.51056,1.08986,0.006964,0.006964,0.006964
94,6423.32,0.64757,0.43321,1.04041,0.96411,0.94969,0.933,0.79828,0.65835,0.51339,1.09096,0.006931,0.006931,0.006931
95,6491.04,0.64516,0.42567,1.03987,0.97192,0.94968,0.93582,0.79972,0.65825,0.51117,1.09139,0.006898,0.006898,0.006898
96,6559.2,0.64445,0.42099,1.03622,0.97369,0.94964,0.93511,0.79989,0.65656,0.51343,1.0897,0.006865,0.006865,0.006865
